field_name	field_location	data_type	units	field_description	allowable_enumeration
calc.weighted.natural_gas.total.energy_consumption	metadata	float	tbtu	Stock total consumption of natural gas energy for all end uses	""
calc.weighted.natural_gas.water_systems.energy_consumption	metadata	float	tbtu	Stock total consumption of natural gas energy for the water systems end use	""
calc.weighted.other_fuel.cooling.energy_consumption	metadata	float	tbtu	Stock total consumption of fuel oil and propane energy for the cooling end use	""
calc.weighted.other_fuel.heating.energy_consumption	metadata	float	tbtu	Stock total consumption of fuel oil and propane energy for the heating end use	""
calc.weighted.other_fuel.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total consumption of fuel oil and propane energy for the interior equipment end use	""
calc.weighted.other_fuel.total.energy_consumption	metadata	float	tbtu	Stock total consumption of fuel oil and propane energy for all end uses	""
calc.weighted.other_fuel.water_systems.energy_consumption	metadata	float	tbtu	Stock total consumption of fuel oil and propane energy for the water systems end use	""
calc.weighted.savings.district_cooling.cooling.energy_consumption	metadata	float	tbtu	Stock total savings of district cooling energy for the cooling end use	""
calc.weighted.savings.district_cooling.total.energy_consumption	metadata	float	tbtu	Stock total savings of district cooling energy for the total end use	""
calc.weighted.savings.district_heating.cooling.energy_consumption	metadata	float	tbtu	Stock total savings of district heating energy for the cooling end use	""
calc.weighted.savings.district_heating.heating.energy_consumption	metadata	float	tbtu	Stock total savings of district heating energy for the heating end use	""
calc.weighted.savings.district_heating.total.energy_consumption	metadata	float	tbtu	Stock total savings of district heating energy for the total end use	""
calc.weighted.savings.district_heating.water_systems.energy_consumption	metadata	float	tbtu	Stock total savings of district heating energy for the water systems end use	""
calc.weighted.savings.electricity.cooling.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the cooling end use	""
calc.weighted.savings.electricity.exterior_lighting.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the exterior lighting end use	""
calc.weighted.savings.electricity.fans.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the fans end use	""
calc.weighted.savings.electricity.heat_recovery.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the heat recovery end use	""
calc.weighted.savings.electricity.heat_rejection.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the heat rejection end use	""
calc.weighted.savings.electricity.heating.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the heating end use	""
calc.weighted.savings.electricity.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the interior equipment end use	""
calc.weighted.savings.electricity.interior_lighting.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the interior lighting end use	""
calc.weighted.savings.electricity.pumps.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the pumps end use	""
calc.weighted.savings.electricity.refrigeration.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the refrigeration end use	""
calc.weighted.savings.electricity.total.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the total end use	""
calc.weighted.savings.electricity.water_systems.energy_consumption	metadata	float	tbtu	Stock total savings of electricity energy for the water systems end use	""
calc.weighted.savings.natural_gas.cooling.energy_consumption	metadata	float	tbtu	Stock total savings of natural gas energy for the cooling end use	""
calc.weighted.savings.natural_gas.heating.energy_consumption	metadata	float	tbtu	Stock total savings of natural gas energy for the heating end use	""
calc.weighted.savings.natural_gas.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total savings of natural gas energy for the interior equipment end use	""
calc.weighted.savings.natural_gas.total.energy_consumption	metadata	float	tbtu	Stock total savings of natural gas energy for the total end use	""
calc.weighted.savings.natural_gas.water_systems.energy_consumption	metadata	float	tbtu	Stock total savings of natural gas energy for the water systems end use	""
calc.weighted.savings.other_fuel.cooling.energy_consumption	metadata	float	tbtu	Stock total savings of fuel oil and propane energy for the cooling end use	""
calc.weighted.savings.other_fuel.heating.energy_consumption	metadata	float	tbtu	Stock total savings of fuel oil and propane energy for the heating end use	""
calc.weighted.savings.other_fuel.interior_equipment.energy_consumption	metadata	float	tbtu	Stock total savings of fuel oil and propane energy for the interior equipment end use	""
calc.weighted.savings.other_fuel.total.energy_consumption	metadata	float	tbtu	Stock total savings of fuel oil and propane energy for the total end use	""
calc.weighted.savings.other_fuel.water_systems.energy_consumption	metadata	float	tbtu	Stock total savings of fuel oil and propane energy for the water systems end use	""
calc.weighted.savings.site_energy.total.energy_consumption	metadata	float	tbtu	Stock total savings of site energy for all end uses	""
calc.weighted.site_energy.total.energy_consumption	metadata	float	tbtu	Stock total consumption of energy for all end uses	""
