field_name	field_location	data_type	units	field_description	allowable_enumeration
in.party_responsible_for_operation	metadata	string		Who is responsible for the operation of the energy systems in the building	other|prop_manager|building_owner|building_owner_or_tenant
in.purchase_input_responsibility	metadata	string		Who has the most direct input on decisions regarding pruchases of energy-related equipment	other|prop_manager|building_owner|building_owner_or_tenant
in.rotation	metadata	float	degrees	Building Rotation off of North axis (positive value is clockwise)	""
in.service_water_heating_fuel	metadata	string		Building primary service water heating fuel source	Electricity|NaturalGas|Propane|DistrictHeating|FuelOil
in.tstat_clg_delta_f	metadata	float	delta_f	Cooling thermostat unnoccupied setpoint temperature delta from primary occupied cooling setpoint. A value of '999' indicates default values were used for model	""
in.tstat_clg_sp_f	metadata	float	f	Cooling thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_delta_f	metadata	float	delta_f	Heating thermostat unnoccupied setpoint temperature delta from primary occupied heating setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_sp_f	metadata	float	f	Heating thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.vintage	metadata	string		A roughly decadal binning of building construction corresponding to CBECS 2018 vintage bins	1990 to 1999|2000 to 2012|1970 to 1979|1960 to 1969|2013 to 2018|1946 to 1959|Before 1946|1980 to 1989
in.wall_construction_type	metadata	string		The type of construction used for exterior walls	SteelFramed|WoodFramed|Metal Building|Mass
in.weather_file_2018	metadata	string		Weather file used for the 2018 AMY simulations	USA_VA_Wakefield.Muni.724019_2018.epw|USA_ID_Idaho.Falls.Rgnl.725785_2018.epw|USA_NY_Greater.Buffalo.Int.725280_2018.epw|USA_NE_Sidney.Muni.Amos.725610_2018.epw|USA_TX_Fort.Worth.Alliance.722594_2018.epw|USA_MI_Hillsdale.Municipal.725409_2018.epw|USA_VA_Hanover.Co.Muni.723084_2018.epw|USA_AL_Cairns.Aaf.722269_2018.epw|USA_WA_Fairchild.Afb.727855_2018.epw|USA_MI_Alpena.Phelps.Colli.726390_2018.epw|...too many to list
in.weather_file_tmy3	metadata	string		Weather file used for the TMY3 simulations	King_Salmon_Arpt|Jackson_International_Ap|Rolla Natl AP|Memorial_Fld|Wise_Lonesome_Pine|Burns_Municipal_Arpt_Uo|Stockton_Metropolitan_Arpt|Salmon_Lemhi_Awos|Marshall_Ryan_Awos|Charleston_Intl_Arpt|...too many to list
in.weekday_opening_time	metadata	float	hr	Building weekday start hour which impacts the start time of schedules	""
in.weekday_operating_hours	metadata	float	hr	Building duration of weekday hours of operation which influences duration of schedules	""
in.weekend_opening_time	metadata	float	hr	Building weekend start hour which impacts the start time of schedules	""
in.weekend_operating_hours	metadata	float	hr	Building duration of weekend hours of operation which influences duration of schedules	""
in.window_to_wall_ratio_category	metadata	string		The bin describing the building's window-to-wall ratio	2_10pct|_1pct|11_25pct|26_50pct|76_100pct|51_75pct
in.window_type	metadata	string		Type of windows in the model	Double - No LowE - Tinted/Reflective - Aluminum|Single - No LowE - Clear - Wood|Single - No LowE - Clear - Aluminum|Single - No LowE - Tinted/Reflective - Wood|Double - LowE - Tinted/Reflective - Aluminum|Triple - LowE - Clear - Thermally Broken Aluminum|Double - LowE - Clear - Thermally Broken Aluminum|Double - No LowE - Clear - Aluminum|Triple - LowE - Tinted/Reflective - Thermally Broken Aluminum|Double - LowE - Clear - Aluminum|Double - LowE - Tinted/Reflective - Thermally Broken Aluminum|Single - No LowE - Tinted/Reflective - Aluminum
in.year_built	metadata	string		Year of original building construction	""
out.district_cooling.cooling.energy_consumption	metadata	float	kwh	Building annual district cooling energy consumption for cooling end use	""
out.district_cooling.cooling.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the cooling end use	""
out.district_cooling.total.energy_consumption	metadata	float	kwh	Building annual total site district cooling consumption	""
out.district_cooling.total.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the total end use	""
out.district_heating.cooling.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for cooling end use	""
out.district_heating.cooling.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the cooling end use	""
out.district_heating.heating.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for heating end use	""
out.district_heating.heating.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the heating end use	""
